,feature_ID,¹à±â,ºÐ·ù,¸íÄª,À§µµ,°æµµ
95,Point_95,20,º¸¾Èµî,¿ª»ï1µ¿ 634-4,37.5028566378,127.03013727
96,Point_96,20,º¸¾Èµî,¿ª»ï1µ¿ 633-9,37.5024492459,127.030670907
97,Point_97,20,º¸¾Èµî,¿ª»ï1µ¿ 681-39,37.5089582502,127.04193411700001
98,Point_98,20,º¸¾Èµî,¿ª»ï1µ¿ 681-30,37.5088394582,127.04153592799999
99,Point_99,20,º¸¾Èµî,¿ª»ï1µ¿ 681-37,37.5090196033,127.041694373
100,Point_100,20,º¸¾Èµî,¿ª»ï1µ¿ 681-22,37.508753068000004,127.041232765
101,Point_101,20,º¸¾Èµî,¿ª»ï1µ¿ 681-29,37.5088034625,127.041409233
102,Point_102,20,º¸¾Èµî,¿ª»ï1µ¿ 681-23,37.5088684139,127.04118306299999
103,Point_103,20,º¸¾Èµî,¿ª»ï1µ¿ 681-21,37.5087134679,127.04110606799999
104,Point_104,20,º¸¾Èµî,¿ª»ï1µ¿ 687-4,37.5081189879,127.040576425
105,Point_105,20,º¸¾Èµî,¿ª»ï1µ¿ 687-11,37.5084936023,127.041164761
106,Point_106,20,º¸¾Èµî,¿ª»ï1µ¿ 686-12,37.5077438842,127.0413996
107,Point_107,20,º¸¾Èµî,¿ª»ï1µ¿ 687-9,37.5080719652,127.041069524
108,Point_108,20,º¸¾Èµî,¿ª»ï1µ¿ 687-3,37.5079531657,127.04068491299999
109,Point_109,20,º¸¾Èµî,¿ª»ï1µ¿ 686-4,37.507578274299995,127.04089734
110,Point_110,20,º¸¾Èµî,¿ª»ï1µ¿ 686,37.5076865041,127.040580715
111,Point_111,20,º¸¾Èµî,¿ª»ï1µ¿ 687-12,37.5083350003,127.041237059
112,Point_112,20,º¸¾Èµî,¿ª»ï1µ¿ 684,37.5086592015,127.041694172
113,Point_113,20,º¸¾Èµî,¿ª»ï1µ¿ 684-4,37.5082915228,127.041888503
114,Point_114,20,º¸¾Èµî,¿ª»ï1µ¿ 687-14,37.5081835587,127.041445083
115,Point_115,20,º¸¾Èµî,¿ª»ï1µ¿799-18,37.4922582329,127.03892595200001
116,Point_116,20,º¸¾Èµî,¿ª»ï1µ¿799-16,37.4921178269,127.03846452200001
117,Point_117,20,º¸¾Èµî,¿ª»ï1µ¿794-30,37.492305377,127.038030399
118,Point_118,20,º¸¾Èµî,¿ª»ï1µ¿794-27,37.4923667398,127.03773642700001
119,Point_119,20,º¸¾Èµî,¿ª»ï1µ¿794-24,37.4925685465,127.03779532899999
120,Point_120,20,º¸¾Èµî,¿ª»ï1µ¿794-29,37.4921937073,127.037858464
121,Point_121,20,º¸¾Èµî,¿ª»ï1µ¿799-13,37.4918910268,127.037677387
122,Point_122,20,º¸¾Èµî,¿ª»ï1µ¿799-10,37.491656798,127.037573239
123,Point_123,20,º¸¾Èµî,¿ª»ï1µ¿799-5,37.4918190037,127.03749642700001
124,Point_124,20,º¸¾Èµî,¿ª»ï1µ¿ 623-22,37.5034404894,127.030137505
125,Point_125,20,º¸¾Èµî,¿ª»ï1µ¿ 623-12,37.503710821,127.030019994
126,Point_126,20,º¸¾Èµî,¿ª»ï1µ¿ 624-18,37.5039197582,127.030395555
127,Point_127,20,º¸¾Èµî,¿ª»ï1µ¿ 613-5,37.5042044899,127.030341385
128,Point_128,20,º¸¾Èµî,¿ª»ï1µ¿ 613-8,37.5043774585,127.030436455
129,Point_129,20,º¸¾Èµî,¿ª»ï1µ¿ 613-14,37.504665716999995,127.03068086100001
130,Point_130,20,º¸¾Èµî,¿ª»ï1µ¿ 613-10,37.5045973189,127.030377734
131,Point_131,20,º¸¾Èµî,¿ª»ï1µ¿ 613-20,37.5049503698,127.030929791
132,Point_132,20,º¸¾Èµî,¿ª»ï1µ¿798-14,37.492629071399996,127.040052406
133,Point_133,20,º¸¾Èµî,¿ª»ï1µ¿798-32,37.4923912942,127.039789938
134,Point_134,20,º¸¾Èµî,¿ª»ï1µ¿798-25,37.4928094767,127.03944640000002
135,Point_135,20,º¸¾Èµî,¿ª»ï1µ¿798-29,37.4924887529,127.0393422
136,Point_136,20,º¸¾Èµî,¿ª»ï1µ¿795-41,37.4927557517,127.038428664
137,Point_137,20,º¸¾Èµî,¿ª»ï1µ¿ 686-1,37.5075927763,127.040648525
138,Point_138,20,º¸¾Èµî,¿ª»ï1µ¿ 653-4,37.5078819015,127.03824188200001
139,Point_139,20,º¸¾Èµî,¿ª»ï1µ¿ 652-10,37.5076155904,127.03702930200001
140,Point_140,20,º¸¾Èµî,¿ª»ï1µ¿794-28,37.4921938127,127.037528276
141,Point_141,20,º¸¾Èµî,¿ª»ï1µ¿794-32,37.4923666658,127.03796710600001
142,Point_142,20,º¸¾Èµî,¿ª»ï1µ¿799-2,37.4917073974,127.037120955
143,Point_143,20,º¸¾Èµî,¿ª»ï1µ¿794-2,37.4933904829,127.03710821899999
144,Point_144,20,º¸¾Èµî,¿ª»ï1µ¿747-6,37.4959167081,127.03773368899999
145,Point_145,20,º¸¾Èµî,¿ª»ï1µ¿747-8,37.496078892199996,127.037724724
146,Point_146,20,º¸¾Èµî,¿ª»ï1µ¿747-14,37.4964138935,127.038263174
147,Point_147,20,º¸¾Èµî,¿ª»ï1µ¿747-10,37.4962410719,127.037729329
148,Point_148,20,º¸¾Èµî,¿ª»ï1µ¿749-9,37.495747988299996,127.03557597700001
149,Point_149,20,º¸¾Èµî,¿ª»ï1µ¿747,37.496093429,127.03734477
150,Point_150,20,º¸¾Èµî,¿ª»ï1µ¿747-1,37.495855566100005,127.037335605
151,Point_151,20,º¸¾Èµî,¿ª»ï1µ¿748-20,37.4959927274,127.03667074200001
152,Point_152,20,º¸¾Èµî,¿ª»ï1µ¿ 633-26,37.5021356488,127.03085172700001
153,Point_153,20,º¸¾Èµî,¿ª»ï1µ¿ 633-24,37.5023806892,127.030978492
154,Point_154,20,º¸¾Èµî,¿ª»ï1µ¿ 633-22,37.5025932837,127.031141435
155,Point_155,20,º¸¾Èµî,¿ª»ï1µ¿ 633-21,37.5025212651,127.030906171
156,Point_156,20,º¸¾Èµî,¿ª»ï1µ¿ 633-4,37.502636628000005,127.03077503
