,SIG_CD,RDS_MAN_NO,RDS_MAN_NO2,RN_CD,RN,LAT,LNG
377,11680,57,17,4166037,강남대로94길,37.50112970650081,127.0352481540421
378,11680,58,0,4166036,강남대로92길,37.49852486350408,127.0273563056145
379,11680,58,1,4166036,강남대로92길,37.49875820621008,127.028118625171
380,11680,58,2,4166036,강남대로92길,37.499203647767274,127.02957393659926
381,11680,58,3,4166036,강남대로92길,37.49920896130247,127.02962176329464
382,11680,58,4,4166036,강남대로92길,37.49921404107608,127.02966741862878
383,11680,58,5,4166036,강남대로92길,37.49955702254497,127.03078690404307
384,11680,59,0,4166035,강남대로84길,37.49630663488549,127.02838744754702
385,11680,59,1,4166035,강남대로84길,37.49660958044924,127.0293874977254
386,11680,59,2,4166035,강남대로84길,37.49685575517564,127.03020015400533
387,11680,59,3,4166035,강남대로84길,37.496982144415895,127.03061740370102
388,11680,59,4,4166035,강남대로84길,37.49709548745363,127.03099158715837
389,11680,59,5,4166035,강남대로84길,37.49735167975781,127.031837369215
390,11680,60,0,4166034,강남대로78길,37.4946755526608,127.02918099482926
391,11680,60,1,4166034,강남대로78길,37.49497545874183,127.03016655091386
392,11680,60,2,4166034,강남대로78길,37.4952214850479,127.03097508712389
393,11680,60,3,4166034,강남대로78길,37.495459772730705,127.03175821602164
394,11680,60,4,4166034,강남대로78길,37.495467424784906,127.03178336851414
395,11680,60,5,4166034,강남대로78길,37.49557692060948,127.03214321710905
396,11680,60,6,4166034,강남대로78길,37.49571976855743,127.03261270246385
397,11680,61,0,4166033,강남대로66길,37.49155464655024,127.03066329873597
398,11680,61,1,4166033,강남대로66길,37.49185660161008,127.03165713167132
399,11680,61,2,4166033,강남대로66길,37.492099655793076,127.0324571458497
400,11680,61,3,4166033,강남대로66길,37.492346107327094,127.03326832736494
401,11680,61,4,4166033,강남대로66길,37.49246157582829,127.03364840654883
402,11680,61,5,4166033,강남대로66길,37.492599529698374,127.03410247197684
403,11680,62,0,4166032,강남대로62길,37.490085777582955,127.03136684958538
404,11680,62,1,4166032,강남대로62길,37.490420826475116,127.03247578908984
405,11680,62,2,4166032,강남대로62길,37.490626740703426,127.0331573405767
406,11680,62,3,4166032,강남대로62길,37.49087190798486,127.03396884712937
407,11680,62,4,4166032,강남대로62길,37.49092840323687,127.03415586373619
408,11680,62,5,4166032,강남대로62길,37.4910310679367,127.03449567670143
409,11680,62,6,4166032,강남대로62길,37.49112599927427,127.03480992083162
410,11680,87,0,4166109,논현로105길,37.50613336067611,127.03442871457682
411,11680,87,1,4166109,논현로105길,37.50595648287354,127.03385203100706
412,11680,87,2,4166109,논현로105길,37.50587726548172,127.03359373855217
413,11680,87,3,4166109,논현로105길,37.50586957592414,127.03334219499378
414,11680,87,4,4166109,논현로105길,37.50585177446556,127.03275992744095
415,11680,87,5,4166109,논현로105길,37.50582267670374,127.03180872024481
416,11680,87,6,4166109,논현로105길,37.50548652537709,127.03069116368653
417,11680,87,7,4166109,논현로105길,37.50516992667892,127.0296386436417
418,11680,87,8,4166109,논현로105길,37.50482611111245,127.02849569111186
419,11680,87,9,4166109,논현로105길,37.50480921219164,127.02843953288942
420,11680,87,10,4166109,논현로105길,37.50444755815349,127.02723733453652
421,11680,87,11,4166109,논현로105길,37.504313657786604,127.02679224765045
422,11680,88,0,4166106,논현로101길,37.50473771998506,127.03508324355185
423,11680,88,1,4166106,논현로101길,37.504486991023896,127.03424562543779
424,11680,88,2,4166106,논현로101길,37.504430786273666,127.03414969601893
425,11680,88,3,4166106,논현로101길,37.504153390680045,127.03367625024197
426,11680,88,4,4166106,논현로101길,37.504025850386704,127.03345856726783
427,11680,89,0,4166208,논현로97길,37.50347024176321,127.03567748236749
428,11680,89,1,4166208,논현로97길,37.50322118401261,127.03483913075497
429,11680,89,2,4166208,논현로97길,37.50310668512015,127.03445371415908
430,11680,89,3,4166208,논현로97길,37.50298296728991,127.03403727327336
431,11680,89,4,4166208,논현로97길,37.50286382987007,127.03363628422913
432,11680,89,5,4166208,논현로97길,37.50282074743285,127.03349125798782
433,11680,89,6,4166208,논현로97길,37.50270566800862,127.03310392268577
434,11680,89,7,4166208,논현로97길,37.50252391671892,127.0320139170831
435,11680,89,8,4166208,논현로97길,37.5023519387636,127.03143206668457
436,11680,89,9,4166208,논현로97길,37.50240489692476,127.03140643847284
437,11680,89,10,4166208,논현로97길,37.502180333056415,127.03068158763476
438,11680,89,11,4166208,논현로97길,37.502789450667585,127.03028688149999
439,11680,89,12,4166208,논현로97길,37.50295609840562,127.03043819623355
440,11680,90,0,4166203,논현로87길,37.499783506397954,127.03593535198596
441,11680,90,1,4166203,논현로87길,37.49965940386486,127.0355273293939
442,11680,90,2,4166203,논현로87길,37.49949836641357,127.03499788038552
443,11680,90,3,4166203,논현로87길,37.49927234287618,127.03425478261323
