,명칭,주소,위도,경도,분류
90,이마트24 역삼서희점,서울특별시 강남구 도곡로3길 19 서희스타힐스오피스텔,37.4914026,127.0326232,편의점
91,GS25 S강남역3호점,서울특별시 강남구 강남대로 390 지하3층,37.4977735,127.028536,편의점
92,CU 역삼가화점,서울특별시 강남구 역삼로34길 19 가화주택 101호,37.4959609,127.042699,편의점
93,GS25 역삼우리점,서울특별시 강남구 역삼로33길 10,37.4978058,127.0417651,편의점
94,CU 역삼우인점,서울특별시 강남구 강남대로84길 8,37.4964436,127.0293143,편의점
95,세븐일레븐강남SLI점,서울특별시 강남구 선릉로69길 7,37.49840810000001,127.0511905,편의점
96,CU 역삼타운점,서울특별시 강남구 언주로75길 16,37.4986676,127.0430309,편의점
97,GS25 강남역신분당선B,서울특별시 강남구 강남대로 396 강남역,37.4872446,127.0327813,편의점
98,미니스톱 역삼디오빌점,서울특별시 강남구 언주로 427 디오빌역삼,37.5013301,127.0424655,편의점
99,GS25 역삼프라임점,서울특별시 강남구 테헤란로37길 41,37.5049213,127.0396394,편의점
100,GS25 역삼미래점,서울특별시 강남구 테헤란로39길 51,37.5056471,127.0402545,편의점
101,세븐일레븐 역삼MG스타점,서울특별시 강남구 테헤란로 335 1층,37.50471599999999,127.0482288,편의점
102,세븐일레븐 신논현강남점,서울특별시 강남구 봉은사로 140,37.5058877,127.0301071,편의점
103,CU 역삼태양점,서울특별시 강남구 강남대로102길 28,37.502699,127.0277076,편의점
104,세븐일레븐 역삼프레스티점,서울특별시 강남구 강남대로78길 12 예미프레스티,37.4948359,127.0303638,편의점
105,GS25 역삼성우점,서울특별시 강남구 역삼로4길 16 109호,37.4923487,127.0319943,편의점
106,세븐일레븐 강남IBC점,서울특별시 강남구 테헤란로7길 8,37.4997517,127.031107,편의점
107,세븐일레븐 역삼진선점,서울특별시 강남구 선릉로85길 8,37.5028306,127.0488465,편의점
108,세븐일레븐 역삼10호점,서울특별시 강남구 테헤란로19길 10,37.5007271,127.0337013,편의점
109,GS25 역삼하나점,서울특별시 강남구 도곡로13길 19 상가 102호,37.4923761,127.0356714,편의점
110,이마트24 역삼센터점,서울특별시 강남구 테헤란로38길 40 1층,37.4999954,127.0427617,편의점
111,GS25 역삼제일점,서울특별시 강남구 언주로108길 6,37.5077891,127.0400551,편의점
112,GS25 역삼르네상스점,서울특별시 강남구 테헤란로38길 6 MeMo빌딩,37.5015456,127.0412638,편의점
113,GS25 역삼싱아점,서울특별시 강남구 논현로72길 13 1층,37.49579,127.0405163,편의점
114,CU 선릉제일점,서울특별시 강남구 선릉로93길 8,37.5055164,127.0477029,편의점
