,명칭,주소,위도,경도,분류
138,이마트24 푸르덴셜타워점,서울특별시 강남구 강남대로 298 ,37.4899692,127.032129,편의점
139,GS25 역삼목화점,서울특별시 강남구 선릉로107길 17,37.5088941,127.0427601,편의점
140,GS25 역삼2점,서울특별시 강남구 역삼로14길 7,37.4940425,127.0355007,편의점
141,세븐일레븐 역삼타운점,서울특별시 강남구 강남대로84길 28,37.4969468,127.0309047,편의점
142,GS25 역삼소망점,서울특별시 강남구 봉은사로26길 26,37.50540400000001,127.033641,편의점
143,GS25 강남아트점,서울특별시 강남구 강남대로102길 40,37.50337529999999,127.0284261,편의점
144,GS25 강남사랑점,서울특별시 강남구 역삼로15길 20 ,37.4961175,127.0354853,편의점
145,CU 강남푸르지오점,서울특별시 강남구 테헤란로4길 6,37.497689,127.029031,편의점
146,CU 역삼벚꽃길점,서울특별시 강남구 도곡로7길 8 천남빌딩병원,37.491271,127.035067,편의점
147,미니스톱 역삼만남점,서울특별시 강남구 테헤란로6길 47,37.4955369,127.0318129,편의점
148,세븐일레븐 역삼은석점,서울특별시 강남구 언주로79길 33,37.4986435,127.0414976,편의점
149,세븐일레븐 역삼달샘점,서울특별시 강남구 테헤란로19길 29,37.5018542,127.0328001,편의점
150,WithGN 강남역지하쇼핑센터점,서울특별시 강남구 강남대로 396 강남역,37.4872446,127.0327813,편의점
151,이마트24 역삼초교점,서울특별시 강남구 역삼로8길 21,37.4927366,127.0342442,편의점
152,세븐일레븐 한신점,서울특별시 강남구 테헤란로 322 한신인터밸리24빌딩,37.5033867,127.0465507,편의점
153,CU 역삼미래점,서울특별시 강남구 테헤란로33길 32 SO근생주택빌딩,37.5038298,127.0388221,편의점
154,GS25 역삼효성점,서울특별시 강남구 강남대로84길 23 한라클래식오피스텔,37.4971279,127.030383,편의점
155,GS25 역삼영동점,서울특별시 강남구 봉은사로30길 11 역삼동658빌딩,37.5067811,127.0354443,편의점
156,세븐일레븐 역삼명랑점,서울특별시 강남구 논현로 425 마이다스빌딩,37.5134667,127.030637,편의점
157,세븐일레븐 역삼특허점,서울특별시 강남구 테헤란로8길 46,37.4958355,127.0322874,편의점
158,GS25 선릉넥슨점,서울특별시 강남구 선릉로 529 함양재빌딩,37.5066208,127.0472194,편의점
159,GS25 역삼제스트점,서울특별시 강남구 테헤란로53길 48 102호,37.5068316,127.0447624,편의점
160,이마트24 역삼Delivery점,서울특별시 강남구 논현로72길 31 1층,37.4964659,127.0417505,편의점
161,스토리웨이,서울특별시 강남구 테헤란로 340 선릉역,37.504479,127.048941,편의점
162,GS25 역삼혜성점,서울특별시 강남구 테헤란로34길 17 혜성빌딩,37.500463,127.040617,편의점
163,세븐일레븐 선릉스타점,서울특별시 강남구 봉은사로50길 19 현빌딩,37.5088717,127.0434356,편의점
164,미니스톱역삼충현점,서울특별시 강남구 봉은사로30길 28,37.5056511,127.0354373,편의점
165,세븐일레븐 강남선릉점,서울특별시 강남구 언주로98길 37,37.5046848,127.0448056,편의점
166,CU 선정릉싱싱점,서울특별시 강남구 선릉로 567,37.5090479,127.0440555,편의점
167,GS25 역삼아람점,서울특별시 강남구 논현로64길 14,37.49357699999999,127.0414007,편의점
168,CU 역삼센타점,서울특별시 강남구 역삼로9길 28,37.4958914,127.0338416,편의점
169,이마트24 역삼신한점,서울특별시 강남구 역삼로 176,37.4953227,127.038463,편의점
170,CU 역삼푸른점,서울특별시 강남구 도곡로1길 7,37.490414,127.0323053,편의점
171,세븐일레븐 역삼하이츠점,서울특별시 강남구 테헤란로25길 6-9 석암빌딩,37.501247,127.035886,편의점
172,CU 역삼에스아이빌딩점,서울특별시 강남구 테헤란로 203 서울인터내셔널타워,37.5015994,127.0377433,편의점
173,세븐일레븐 역삼우일점,서울특별시 강남구 봉은사로44길 39,37.5068371,127.0413273,편의점
174,GS25 역삼참마을점,서울특별시 강남구 논현로79길 7,37.4975261,127.0376125,편의점
175,GS25 역삼쌍마점,서울특별시 강남구 논현로85길 57 1층,37.4976892,127.0334227,편의점
176,GS25 강남태강점,서울특별시 강남구 테헤란로10길 14,37.4981623,127.032323,편의점
177,GS25 역삼덕원점,서울특별시 강남구 테헤란로13길 16,37.5006969,127.0323219,편의점
178,세븐일레븐 역삼선릉로점,서울특별시 강남구 봉은사로48길 13,37.5086439,127.0416797,편의점
179,이마트24 역삼중앙점,서울특별시 강남구 논현로85길 70,37.4976447,127.0324914,편의점
180,GS25 역삼블루점,서울특별시 강남구 도곡로21길 18 삼정빌딩,37.4932542,127.0388231,편의점
181,세븐일레븐 역삼세브란스점,서울특별시 강남구 논현로64길 33,37.4940215,127.0432191,편의점
182,CU 역삼유토빌점,서울특별시 강남구 논현로87길 41 신일유토빌,37.498788,127.0334124,편의점
183,CU 역삼삼부자점,서울특별시 강남구 테헤란로51길 43,37.5056753,127.0441765,편의점
184,미니스톱강남메트로점,서울특별시 강남구 테헤란로 101,37.4986253,127.0280285,편의점
185,이마트24 역삼리테일점,서울특별시 강남구 언주로103길 10,37.5062083,127.0379507,편의점
186,GS25 역삼행복점,서울특별시 강남구 언주로67길 34 1층 2호,37.4955112,127.0439151,편의점
187,GS25 역삼대홍점,서울특별시 강남구 논현로63길 19,37.4924317,127.0392871,편의점
188,GS25 강남쌍용점,서울특별시 강남구 테헤란로4길 46 쌍용플래티넘밸류,37.4954056,127.0304109,편의점
189,미니스톱 역삼태광점,서울특별시 강남구 테헤란로34길 7,37.5010846,127.0403049,편의점
190,CU 역삼우리점,서울특별시 강남구 역삼로19길 14 노블스위트,37.4959576,127.0373104,편의점
191,세븐일레븐 역삼테헤란점,서울특별시 강남구 논현로94길 23,37.5028301,127.0382197,편의점
192,CU 역삼형지점,서울특별시 강남구 논현로 327 명호빌딩,37.4944336,127.0396044,편의점
193,GS25 역삼미소점,서울특별시 강남구 논현로105길 31 1층 ,37.505629,127.0317414,편의점
194,GS25 역삼대로점,서울특별시 강남구 역삼로 213,37.4965541,127.0404149,편의점
195,GS25 역삼테헤란점,서울특별시 강남구 테헤란로33길 7 1층 A호,37.502262,127.0392663,편의점
196,이마트24 역삼테헤란점,서울특별시 강남구 테헤란로14길 36,37.4969778,127.0337971,편의점
197,이마트24 역삼푸르지오점,서울특별시 강남구 논현로85길 52,37.498056,127.0338646,편의점
198,GS25 강남상록회관점,서울특별시 강남구 언주로98길 25 ,37.5048633,127.0439301,편의점
199,CU 역삼포스틸점,서울특별시 강남구 테헤란로20길 10,37.4990484,127.0341289,편의점
200,GS25 강남역신분당선A,서울특별시 강남구 강남대로 396 강남역,37.4872446,127.0327813,편의점
201,세븐일레븐 역삼래미안점,서울특별시 강남구 언주로 314,37.4958588,127.0464594,편의점
202,CU 역삼천사점,서울특별시 강남구 테헤란로53길 28,37.5060185,127.0460553,편의점
203,세븐일레븐 역삼15호점,서울특별시 강남구 강남대로62길 18,37.4903984,127.0330439,편의점
204,이마트24 역삼은성점,서울특별시 강남구 논현로68길 12 1층,37.4945895,127.040932,편의점
205,GS25 역삼명진점,서울특별시 강남구 역삼로18길 22,37.4933833,127.0365382,편의점
206,세븐일레븐 역삼코넬점,서울특별시 강남구 언주로93길 28-8 코넬빌딩,37.5038775,127.0395962,편의점
207,CU 역삼한서점,서울특별시 강남구 논현로80길 9,37.498166,127.0390723,편의점
208,세븐일레븐 역삼언주로점,서울특별시 강남구 언주로85길 24 1층,37.5009626,127.0412509,편의점
209,바이더웨이역삼은탑점,서울특별시 강남구 테헤란로14길 5,37.4990525,127.0332072,편의점
210,GS25 강남갤러리점,서울특별시 강남구 논현로106길 42 1층,37.5068128,127.037784,편의점
211,CU 역삼신웅점,서울특별시 강남구 테헤란로 216 신웅타워,37.50141199999999,127.040169,편의점
212,세븐일레븐 역삼웰스토어점,서울특별시 강남구 논현로63길 7,37.4931358,127.0396637,편의점
213,CU 역삼디오빌점,서울특별시 강남구 강남대로84길 33 대우디오빌플러스 지하 1층 112호,37.5014884,127.0428817,편의점
214,GS25 강남역삼점,서울특별시 강남구 봉은사로48길 32,37.5073557,127.0420468,편의점
215,미니스톱 역삼성지점,서울특별시 강남구 테헤란로43길 10,37.5038458,127.0441263,편의점
216,CU 역삼황제펭귄점,서울특별시 강남구 논현로106길 31,37.5067382,127.0369265,편의점
217,세븐일레븐 역삼스타공원점,서울특별시 강남구 논현로79길 25,37.49734249999999,127.0360893,편의점
218,라면국물편의점포차 역삼점,서울특별시 강남구 테헤란로19길 20,37.5013309,127.0333836,편의점
219,지에스25역삼테헤란점,서울특별시 강남구 테헤란로33길 7,37.502262,127.0392663,편의점
220,크린위드 강남프라자점,서울특별시 강남구 언주로 314 강남프라자 B112호,37.4957798,127.0464372,편의점
221,킹마트 역삼점,서울특별시 강남구 테헤란로19길 14,37.5010194,127.0336297,편의점
222,수민상품권,서울특별시 강남구 테헤란로25길 20 106호 시온비즈니스센터 121-1,37.501607,127.0356262,편의점
223,아빠가게,서울특별시 강남구 언주로86길 7 진넥스빌2,37.5017808,127.043931,편의점
224,씨브이에스넷,서울특별시 강남구 테헤란로 201 아주빌딩,37.4971281,127.0614078,편의점
225,나우픽,서울특별시 강남구 논현로101길 10-10 B1,37.5048807,127.0335595,편의점
