,SIG_CD,RDS_MAN_NO,RDS_MAN_NO2,RN_CD,RN,LAT,LNG,총밝기
1632,11680,1067,3,4166210,논현로99길,37.503209992062786,127.03286987317786,520
1633,11680,1067,4,4166210,논현로99길,37.502900680608796,127.03182942325803,560
1634,11680,1068,0,4166207,논현로95길,37.502378043779416,127.03523444335468,560
1635,11680,1068,1,4166207,논현로95길,37.502141092476634,127.03442765207436,840
1636,11680,1068,2,4166207,논현로95길,37.502036225090535,127.03407059794405,280
1637,11680,1068,3,4166207,논현로95길,37.501915171676366,127.03365843964028,520
1638,11680,1068,4,4166207,논현로95길,37.501908912005355,127.0336501021077,520
1639,11680,1068,5,4166207,논현로95길,37.50185164725136,127.03357380866501,520
1640,11680,1068,6,4166207,논현로95길,37.501791563339026,127.03349375950191,1080
1641,11680,1068,7,4166207,논현로95길,37.50153624888425,127.03315359724434,840
1642,11680,1069,0,4166724,테헤란로21길,37.500152912646435,127.0347188203477,240
1643,11680,1069,1,4166724,테헤란로21길,37.500859690389454,127.0343701714815,2340
1644,11680,1069,2,4166724,테헤란로21길,37.500901116809956,127.03450486858284,1850
1645,11680,1069,3,4166724,테헤란로21길,37.50104887455197,127.03442955891107,1850
1646,11680,1069,4,4166724,테헤란로21길,37.501671717425324,127.0343301763056,800
1647,11680,1069,5,4166724,테헤란로21길,37.501663779761635,127.03423223584463,800
1648,11680,1069,6,4166724,테헤란로21길,37.502036225090535,127.03407059794405,280
1649,11680,1070,0,4166002,강남대로100길,37.50173813808296,127.02669898386995,1010
1650,11680,1070,1,4166002,강남대로100길,37.501713291877756,127.02718586743894,1640
1651,11680,1070,2,4166002,강남대로100길,37.501673991714185,127.02746818623257,520
1652,11680,1070,3,4166002,강남대로100길,37.50225402344152,127.02938457430231,1080
1653,11680,1071,0,4166109,논현로105길,37.50586957592414,127.03334219499378,770
1654,11680,1071,1,4166109,논현로105길,37.50464941415846,127.03230078936312,280
1655,11680,1072,0,4166344,봉은사로26길,37.505659863016994,127.03369568186615,1050
1656,11680,1072,1,4166344,봉은사로26길,37.50498774726244,127.03312216519305,1360
1657,11680,1072,2,4166344,봉은사로26길,37.5046213945941,127.0328095726628,840
1658,11680,1072,3,4166344,봉은사로26길,37.50445284685892,127.03266575804298,0
1659,11680,1073,0,4166726,테헤란로25길,37.50165032413525,127.03533335364584,1050
1660,11680,1073,1,4166726,테헤란로25길,37.501752620365906,127.03499638757616,840
1661,11680,1073,2,4166726,테헤란로25길,37.501671717425324,127.0343301763056,800
1662,11680,1086,0,4166002,강남대로100길,37.501713291877756,127.02718586743894,1640
1663,11680,1086,1,4166002,강남대로100길,37.50108101507132,127.02747947099056,1360
