,밝기,분류,명칭,위도,경도
165,210,편의점,세븐일레븐 강남선릉점,37.5046848,127.04480559999999
166,210,편의점,CU 선정릉싱싱점,37.5090479,127.0440555
167,210,편의점,GS25 역삼아람점,37.49357699999999,127.0414007
168,210,편의점,CU 역삼센타점,37.4958914,127.0338416
169,210,편의점,이마트24 역삼신한점,37.4953227,127.038463
170,210,편의점,CU 역삼푸른점,37.490414,127.0323053
171,210,편의점,세븐일레븐 역삼하이츠점,37.501247,127.035886
172,210,편의점,CU 역삼에스아이빌딩점,37.5015994,127.0377433
173,210,편의점,세븐일레븐 역삼우일점,37.506837100000006,127.0413273
174,210,편의점,GS25 역삼참마을점,37.4975261,127.0376125
175,210,편의점,GS25 역삼쌍마점,37.4976892,127.03342269999999
176,210,편의점,GS25 강남태강점,37.4981623,127.032323
177,210,편의점,GS25 역삼덕원점,37.5006969,127.0323219
178,210,편의점,세븐일레븐 역삼선릉로점,37.5086439,127.0416797
179,210,편의점,이마트24 역삼중앙점,37.4976447,127.03249140000001
180,210,편의점,GS25 역삼블루점,37.4932542,127.03882309999999
181,210,편의점,세븐일레븐 역삼세브란스점,37.4940215,127.04321909999999
182,210,편의점,CU 역삼유토빌점,37.498788,127.0334124
183,210,편의점,CU 역삼삼부자점,37.5056753,127.04417649999999
184,210,편의점,미니스톱강남메트로점,37.49862529999999,127.02802849999999
185,210,편의점,이마트24 역삼리테일점,37.5062083,127.0379507
186,210,편의점,GS25 역삼행복점,37.4955112,127.04391509999998
187,210,편의점,GS25 역삼대홍점,37.492431700000004,127.03928710000001
188,210,편의점,GS25 강남쌍용점,37.495405600000005,127.03041090000002
189,210,편의점,미니스톱 역삼태광점,37.5010846,127.04030490000001
190,210,편의점,CU 역삼우리점,37.4959576,127.03731040000001
191,210,편의점,세븐일레븐 역삼테헤란점,37.502830100000004,127.0382197
192,210,편의점,CU 역삼형지점,37.4944336,127.0396044
193,210,편의점,GS25 역삼미소점,37.505629,127.03174140000002
194,210,편의점,GS25 역삼대로점,37.496554100000004,127.0404149
195,210,편의점,GS25 역삼테헤란점,37.502262,127.0392663
196,210,편의점,이마트24 역삼테헤란점,37.496977799999996,127.03379709999999
197,210,편의점,이마트24 역삼푸르지오점,37.498056,127.0338646
198,210,편의점,GS25 강남상록회관점,37.5048633,127.0439301
199,210,편의점,CU 역삼포스틸점,37.4990484,127.03412890000001
200,210,편의점,GS25 강남역신분당선A,37.4872446,127.03278130000001
201,210,편의점,세븐일레븐 역삼래미안점,37.4958588,127.0464594
202,210,편의점,CU 역삼천사점,37.5060185,127.0460553
203,210,편의점,세븐일레븐 역삼15호점,37.4903984,127.0330439
204,210,편의점,이마트24 역삼은성점,37.494589500000004,127.04093200000001
205,210,편의점,GS25 역삼명진점,37.4933833,127.0365382
206,210,편의점,세븐일레븐 역삼코넬점,37.5038775,127.0395962
207,210,편의점,CU 역삼한서점,37.498166,127.0390723
208,210,편의점,세븐일레븐 역삼언주로점,37.5009626,127.04125090000001
209,210,편의점,바이더웨이역삼은탑점,37.499052500000005,127.03320719999999
210,210,편의점,GS25 강남갤러리점,37.5068128,127.037784
211,210,편의점,CU 역삼신웅점,37.50141199999999,127.04016899999999
212,210,편의점,세븐일레븐 역삼웰스토어점,37.4931358,127.0396637
213,210,편의점,CU 역삼디오빌점,37.5014884,127.04288170000001
214,210,편의점,GS25 강남역삼점,37.507355700000005,127.0420468
215,210,편의점,미니스톱 역삼성지점,37.5038458,127.0441263
216,210,편의점,CU 역삼황제펭귄점,37.5067382,127.03692649999999
217,210,편의점,세븐일레븐 역삼스타공원점,37.49734249999999,127.03608929999999
218,210,편의점,라면국물편의점포차 역삼점,37.5013309,127.0333836
219,210,편의점,지에스25역삼테헤란점,37.502262,127.0392663
220,210,편의점,크린위드 강남프라자점,37.495779799999994,127.0464372
221,210,편의점,킹마트 역삼점,37.5010194,127.0336297
222,210,편의점,수민상품권,37.501607,127.03562620000001
223,210,편의점,아빠가게,37.5017808,127.043931
224,210,편의점,씨브이에스넷,37.497128100000005,127.0614078
225,210,편의점,나우픽,37.5048807,127.0335595
226,210,편의점,29CM STORE,37.498799700000006,127.02669409999999
227,210,편의점,TJ 움직이는 편의점,37.5061541,127.02446670000002
228,210,편의점,이마트24 R스타필드코엑스몰6호점,37.5126188,127.05741689999999
229,210,편의점,TJ움직이는편의점,37.505750299999995,127.0262215
230,210,편의점,GS25 강남센타점,37.4993385,127.03379270000002
231,210,편의점,GS25 강남동원점,37.4990162,127.029877
232,210,편의점,GS25 강남프리미엄점,37.4988341,127.0261778
233,210,편의점,CU 타워팰리스점,37.4884505,127.0544709
234,210,편의점,GS25 논현영동점,37.509938,127.02306200000001
235,210,편의점,CU 서초다우점,37.502481,127.0244418
236,210,편의점,GS25 오크우드점,37.5101935,127.0585824
237,210,편의점,세븐일레븐 양재역점,37.4828114,127.0342362
238,210,편의점,GS25 대치골드점,37.484586900000004,127.04203340000001
239,210,편의점,CU M양재역점,37.48357,127.035421
240,210,편의점,CU 대치본점,37.4985196,127.0588217
241,210,편의점,이마트24 서울남부터미널점,37.4842039,127.01539869999999
242,210,편의점,GS25 코엑스신협점,37.5126188,127.05741689999999
243,210,편의점,CU 서초대로점,37.49393320000001,127.01549569999999
244,210,편의점,CU 924사평역점,37.5042324,127.01520740000001
245,210,편의점,GS25 도곡매봉점,37.48515099999999,127.0457169
246,210,편의점,CU 남부터미널역점,37.48490579999999,127.0147439
247,210,편의점,세븐일레븐 영동점,37.5084594,127.0221335
248,210,편의점,GS25 논현동우점,37.5091672,127.0364508
249,210,편의점,CU 논현두산위브점,37.511904799999996,127.0380263
250,210,편의점,움직이는편의점,37.51454520000001,127.04372520000001
251,210,편의점,GS25 도곡양재점,37.48568119999999,127.0345555
252,210,편의점,CU 서초아이파크점,37.5006226,127.0253673
253,210,편의점,CU 서초캐슬점,37.5016033,127.0240807
254,210,편의점,GS25 잠원중앙점,37.513937,127.01694029999999
255,210,편의점,미니스톱 강남신사점,37.51798,127.0199777
256,210,편의점,GS25 신사대로점,37.5166805,127.0189392
257,210,편의점,GS25 학동공원점,37.515244200000005,127.02235049999999
258,210,편의점,GS25 신사현대점,37.5171429,127.0199774
259,210,편의점,세븐일레븐 잠원중앙점,37.5147919,127.0188281
260,210,편의점,이마트24 R강남대로점,37.5092316,127.02257150000001
261,210,편의점,GS25 봉은사점,37.5141625,127.05867509999999
262,210,편의점,세븐일레븐 신사4호점,37.5187027,127.02379640000001
263,210,편의점,CU 강남세브란스점,37.4927454,127.0463152
264,210,편의점,세븐일레븐 공항타워점,37.5101935,127.0585824
